球隊名稱,星期,時間,球館,地址,強度,場地數,收費(男),收費(女),用球,最後更新日期,備註
陽光,二,0900-1230,江文岳黎明館,408台中市南屯區永春東七路968-1號,,,,,,,
開心,二,0930-1130,福慧羽球館,411台中市太平區中山路二段541巷33-1號,,,,,,,
真愛打,二,1400-1600,佳青羽球館,402台中市南區福田三街302號,,,,,,,
南屯羽球笑隊,二,1400-1700,南屯國民運動中心,408台中市南屯區黎明路一段998號,,,,,,,
大觀園,二,1400-1800,民昇羽球一館,403台中市西區民生路491號,,,,,,,
大觀園海線,二,1500-1900,六氧羽球館,433台中市沙鹿區北中七街39號,,,,,,,
有球必IN,二,1600-1900,佳青羽球館,402台中市南區福田三街302號,1-4,依人數,200,200,JNICE,2020/7/3,四次優惠: 男720 女/學生: 640
新福,二,1800-2000,新福羽球館,,2-3,3,130,130,okalin AC-9,2020/7/2,
東原周二,二,1830-2030,東原羽球場,406台中市北屯區東光路724巷1-69號,,,,,,,
羽球天團,二,1830-2100,蓋強環中館,408台中市南屯區環中路四段305之1號,,,,,,,
詠農,二,1830-2100,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
爆汗,二,1830-2100,台體,404台中市北區雙十路一段16號,,,,,,,
MJ,二,1830-2130,霧峰健體中心,412台中市霧峰區成功路200號,,,,,,,
成人羽訓,二,1900-2100,永和羽球館,428台中市大雅區永和路117-15號,,,,,,,
羽翼,二,1900-2100,順豐羽球館,428台中市大雅區中山五路21號,,,,,,,
夜鷹部隊,二,1900-2100,南屯國民運動中心,408台中市南屯區黎明路一段998號,,,,,,,
氣羽軒昂,二,1900-2100,大都會福華館,407台中市西屯區福順路65號,,,,,,,
大龍,二,1900-2130,大道國中,432台中市大肚區仁德路60號,,,,,,,
ARTSPORT,二,1900-2200,羽揚羽球館,407台中市西屯區福科路900巷19號之1號,,,,,,,
Y來Y去,二,1900-2200,福慧羽球館,411台中市太平區中山路二段541巷33-1號,,,,,,,
鬥羽球隊,二,1900-2200,樂活羽球館,435台中市梧棲區中央路一段536-2號,,,,,,,
豪帥,二,1900-2200,帥宏羽球館,429台中市神岡區大洲路123巷123之1號,,,,,,,
馬克,二,1900-2230,中信羽球館,406台中市北屯區河北一街139號,,,,,,,
愛唉叫,二,1930-2130,普那羽球館,406台中市北屯區山西路三段177號,,,,,,,
楓和,二,1930-2130,永和羽球館,428台中市大雅區永和路117-15號,,,,,,,
WET,二,1930-2200,永和羽球館,428台中市大雅區永和路117-15號,,,,,,,
活力,二,1930-2200,六氧羽球館,433台中市沙鹿區北中七街39號,,,,,,,
蓋強,二,1930-2200,蓋強潭子館,427台中市潭子區民族路一段368號,,,,,,,
容容,二,1930-2230,大智羽球館,401台中市東區大振街33號,,,,,,,
羽線魔手,二,2000-2200,普那羽球館,406台中市北屯區山西路三段177號,,,,,,,
幸福美滿,二,2000-2200,磐石羽球運動會館,412台中市大里區中山路330號,,,,,,,
開心,二,2000-2200,新福羽球館,406台中市太平區新福路266號,,,,,,,
樂優悠,二,2000-2200,樂優羽球館,414台中市烏日區五光路復光五巷65弄6號,,,,,,,
簡單生活,二,2000-2200,永翔羽球館,407台中市西屯區漢翔北街37-1號,,,,,,,
流星,二,2000-2230,洲際羽球館,427台中市潭子區崇德路五段435號,,,,,,,
三喬羽王,二,2000-2300,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
久大,二,2000-2300,民昇羽球一館,403台中市西區民生路491號,,,,,,,
伯樂,二,2000-2300,鴻毅國際羽球館,412台中市大里區工業九路128號,,,,,,,
金牌,二,2000-2300,鴻毅國際羽球館,412台中市大里區工業九路128號,,,,,,,
羽晨二隊,二,2000-2330,羽晨羽球館,411台中市太平區永成北路286號,,,,,,,
大里,二,2030-2230,大翔羽球館,402台中市南區五權南路737-1號,,,,,,,
大墩,二,2030-2230,大墩羽球館,408台中市南屯區大墩十二街1000號,,,,,,,
高功,二,2030-2300,民昇羽球二館,402台中市南區美村南路178號,,,,,,,
鬥陣,二,2030-2300,東原羽球場,406台中市北屯區東光路724巷1-69號,,,,,,,
海綿體寶寶,二,2100-2300,東原羽球場,406台中市北屯區東光路724巷1-69號,,,,,,,
開心,二,2100-2330,羽晨羽球館,411台中市太平區永成北路286號,,,,,,,
清晨,三,0630-0950,中信羽球館,406台中市北屯區河北一街139號,,,,,,,
凱迪,三,0630-1000,蓋強環中館,408台中市南屯區環中路四段305之1號,,,,,,,
朝陽,三,0700-0900,新福羽球館,406台中市太平區新福路266號,,,,,,,
早安,三,0700-0930,永安羽球館,406台中市北屯區后庄七街259號,,,,,,,
大智,三,0700-1000,大智羽球館,401台中市東區大振街33號,,,,,,,
